mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Abelsonite,Chalcopyrite,0.00473683685669,Gold,0.00578443919351,Magnetite,0.00641777670377,Baryte,0.00695249597694,Galena,0.00726650036798,Muscovite,0.00734421082065,Fluorite,0.00781488527774,Sphalerite,0.00790273118168,Quartz,0.00813508358418,Epidote,0.00825038700379
Abernathyite,Gold,0.0179945520743,Quartz,0.0182210876123,Zaratite,0.0200804832226,Bavenite,0.0224506627533,Minnesotaite,0.0229961024909,Chalcopyrite,0.0235769808298,Calcite,0.0251506259557,Benitoite,0.0259237923683,Eudialyte,0.0261981258531,Pyrite,0.0265614100804
Abhurite,Gold,0.00708446223613,Chalcopyrite,0.00870212497028,Sphalerite,0.00967882948475,Quartz,0.00996340189807,Baryte,0.0127725506867,Pyrite,0.0142598694626,Galena,0.0148326817644,Malachite,0.0156613661912,Hematite,0.0160955694995,Pyrrhotite,0.0169278231662
Acanthite,Jamborite,0.00747038724839,Zircophyllite,0.00747038724839,Hilgardite,0.00792354222214,Kimzeyite,0.00792354222214,Heklaite,0.00847062293854,Malhmoodite,0.00914931846978,Willhendersonite,0.00914931846978,Faujasite-Na,0.00914931846978,Eggletonite,0.00914931846978,Stistaite,0.00914931846978
Actinolite,Hauerite,0.00744389946297,Heklaite,0.00855701602477,Faujasite-Na,0.00924263366811,Willhendersonite,0.00924263366811,Carlsonite,0.0101247979016,Metahohmannite,0.0101247979016,Huizingite-(Al),0.0101247979016,Pyracmonite,0.0101247979016,Kremersite,0.0101247979016,Adranosite-(Fe),0.0101247979016
Adamite,Minnesotaite,0.010859946415,Greenalite,0.013759441356,Hauerite,0.0139441401083,Moraesite,0.0145463201374,Ferro-pargasite,0.0185089998756,Jahnsite-(CaMnFe),0.0185089998756,Schoonerite,0.0189660810453,Evansite,0.0199920047968,Babingtonite,0.020504703521,Galaxite,0.0205716032209
Adelite,Millerite,0.012770236106,Magnesiochromite,0.0132967437602,Ankerite,0.0136653343615,Columbite-(Fe),0.0139130645188,Carnotite,0.0141747751854,Chromite,0.0143016138057,Taenite,0.0144942758913,Elbaite,0.0149403576167,Uvarovite,0.0154046818862,Cassiterite,0.0156941205144
Adranosite-(Fe),Gold,0.0059741431103,Epidote,0.00639072229309,Pyrrhotite,0.00713739693785,Chalcocite,0.00715015694767,Scheelite,0.00728163919411,Chalcopyrite,0.00733827610387,Azurite,0.00740537603279,Silver,0.00750692363807,Bornite,0.00755928946018,Molybdenite,0.00756794348644
Aegirine,Potassic-pargasite,0.0136234219031,Fluoro-pargasite,0.0136234219031,Hauerite,0.0155169357946,Jamborite,0.0157309726061,Hilgardite,0.0166852161066,Feruvite,0.0166852161066,Shandite,0.0166852161066,Sudburyite,0.0166852161066,Hydroboracite,0.0166852161066,Ungavaite,0.0166852161066
Aegirine-augite,Nitrocalcite,0.0132314031006,Planerite,0.0168168198499,Phoenicochroite,0.0169808902703,Kidwellite,0.0171498585143,Stetefeldtite,0.0176887284419,Gold,0.0178196369999,Tetrataenite,0.0184931680364,Molybdofornacite,0.0199363055707,Honessite,0.0199363055707,Hauerite,0.0199363055707
Aenigmatite,Gold,0.0179473043315,Hauerite,0.0232495277488,Norbergite,0.0235702260396,Cuprobismutite,0.025,Algodonite,0.025,Fluor-uvite,0.0262612865719,Sussexite,0.0262612865719,Ixiolite,0.0267261241912,Fluoro-edenite,0.0267261241912,Braggite,0.0267261241912
Aerinite,Gold,0.0059741431103,Cinnabar,0.00953245967048,Chlorargyrite,0.0108052872401,Muscovite,0.0113776024798,Ankerite,0.0114332390095,Carnotite,0.0118594677827,Quartz,0.0126028172966,Cassiterite,0.013130643286,Scheelite,0.0145632783882,Malachite,0.0148576765302
Aeschynite-(Ce),Gold,0.0137966925316,Uvarovite,0.0148823365912,Quartz,0.0160077279093,Dioptase,0.0186826159736,Pyrite,0.0190922164198,Colemanite,0.0201619459636,Carnotite,0.0205412007504,Galena,0.0216645183751,Ulexite,0.022733144649,Malachite,0.0228748894513
Aeschynite-(Y),Strunzite,0.0168215777563,Hydroxylherderite,0.0170473808498,Gold,0.0191941888793,Zaratite,0.0200804832226,Wardite,0.021315227816,Bavenite,0.0224506627533,Aguilarite,0.023186944788,Petalite,0.023186944788,Wodginite,0.0242179739848,Halloysite-7A,0.0251497727414
Afghanite,Gold,0.00818043235818,Cinnabar,0.00870190531672,Stibnite,0.00916544468883,Chlorargyrite,0.00986383260287,Carnotite,0.0108261633744,Rhodochrosite,0.0110742582364,Quartz,0.0115047455358,Cassiterite,0.0119865825371,Tenorite,0.0128395202629,Malachite,0.0135631409795
Afmite,Gold,0.00545362157212,Quartz,0.00690284732147,Tetrahedrite,0.00701275377095,Pyrite,0.00823293947283,Cinnabar,0.00870190531672,Magnetite,0.00907610685476,Chlorargyrite,0.00986383260287,Chalcopyrite,0.0100483483882,Calcite,0.0100884943111,Galena,0.0102763833714
Afwillite,Cinnabar,0.0128535659976,Gold,0.0140971826215,Chlorargyrite,0.0145698463423,Rhodochrosite,0.0163577634937,Sillimanite,0.0183834711307,Quartz,0.0186929989137,Analcime,0.0201906930241,Pyrargyrite,0.0203510300299,Metatyuyamunite,0.0211619477845,Chromite,0.0215125284775
Agaite,Magnetite,0.0136141602821,Pyrite,0.0137215657881,Quartz,0.0138056946429,Hematite,0.0139391720749,Baryte,0.0147484711544,Gold,0.0163608647164,Chalcopyrite,0.0167472473137,Epidote,0.0175017137934,Dolomite,0.0183741591144,Sphalerite,0.0186269160282
Agardite-(Ce),Gold,0.0136340539303,Pyrite,0.0137215657881,Quartz,0.0138056946429,Hematite,0.0139391720749,Chrysotile,0.0140358653511,Chromite,0.0145640506277,Siderite,0.0146246664357,Anthophyllite,0.0159637714204,Calcite,0.0168141571852,Galena,0.017127305619
Agardite-(La),Gold,0.00862293283227,Sphalerite,0.0117806960868,Chalcopyrite,0.0148286448938,Beryl,0.0156269076979,Quartz,0.0160077279093,Scheelite,0.0168162253954,Microcline,0.0174449749695,Tetrahedrite,0.0177410196689,Almandine,0.0183648612345,Graphite,0.0183959092046
Agardite-(Nd),Quartz,0.00939358539442,Gold,0.0111321584183,Chrysotile,0.0114602360695,Anthophyllite,0.0130343647834,Pyrite,0.0134443338611,Dolomite,0.0150024380943,Hematite,0.0151750484535,Datolite,0.0153105070725,Pyrrhotite,0.0159597047354,Uraninite,0.0160097368809
Agardite-(Y),Babingtonite,0.01163105263,Wodginite,0.019462473604,Halloysite-7A,0.0202113020864,Messelite,0.0206196524711,Whitmoreite,0.0225417408667,Rockbridgeite,0.0229657606087,Ancylite-(Ce),0.0231125081761,Gerhardtite,0.0234146452895,Hauerite,0.0237289498938,Norbergite,0.0240562612162
