mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Abelsonite,Neighborite,0.471404520791,Garrelsite,0.348155311911,Elpidite,0.32025630761,Bergenite,0.288675134595,Tobelite,0.288675134595,Nordstrandite,0.280056016806,Orschallite,0.258198889747,Guarinoite,0.258198889747,Takovite,0.258198889747,Karpenkoite,0.258198889747
Abernathyite,Heinrichite,0.567961834247,Meta-aluminite,0.439941345064,Natrouranospinite,0.401609664451,Freboldite,0.401609664451,Metaheinrichite,0.401609664451,Trogerite,0.401609664451,Iriginite,0.370991116608,Yingjiangite,0.366617787553,Strelkinite,0.366617787553,Spherocobaltite,0.359210604054
Abhurite,Hydroromarchite,0.790569415042,Herzenbergite,0.625,Romarchite,0.559016994375,Jungite,0.5,Hafnon,0.433012701892,Steacyite,0.408248290464,Ferronigerite-2N1S,0.408248290464,Katophorite,0.353553390593,Erythrosiderite,0.353553390593,Sadanagaite,0.353553390593
Acanthite,Chlorargyrite,0.436977648442,Pyrargyrite,0.411449000563,Silver,0.391617508273,Proustite,0.359397100668,Tetrahedrite,0.334540238369,Stephanite,0.330140292421,Polybasite,0.32150549025,Anglesite,0.303519095124,Cerussite,0.30069842733,Covellite,0.291756636397
Actinolite,Tremolite,0.389581676328,Diopside,0.373362847115,Epidote,0.361699673594,Titanite,0.360820732216,Talc,0.314191137339,Magnetite,0.311556803758,Grossular,0.299779089857,Albite,0.29229516773,Rutile,0.291105631307,Clinochlore,0.290817956047
Adamite,Austinite,0.54557564724,Arseniosiderite,0.499030604267,Carminite,0.496648583009,Conichalcite,0.462945477128,Mixite,0.436712736045,Duftite,0.42240409045,Beudantite,0.403272415969,Tsumcorite,0.398656999853,Agardite-(Y),0.3917616855,Arsentsumebite,0.370901596633
Adelite,Kolicite,0.801783725737,Hauckite,0.801783725737,Allactite,0.801783725737,Johnbaumite,0.760638829256,Yeatmanite,0.760638829256,Holdenite,0.755928946018,Hodgkinsonite,0.725240667623,Chlorophoenicite,0.725240667623,Rouaite,0.707106781187,Kraisslite,0.707106781187
Adranosite-(Fe),Huizingite-(Al),1.0,Ammoniomagnesiovoltaite,1.0,Kremersite,1.0,Pyracmonite,1.0,Sabieite,1.0,Clairite,1.0,Carlsonite,1.0,Lonecreekite,0.845154254729,Boussingaultite,0.46625240412,Panethite,0.4472135955
Aegirine,Nepheline,0.444392066271,Riebeckite,0.440379011474,Arfvedsonite,0.396779911842,Sodalite,0.39255884895,Cancrinite,0.327132374125,Aegirine-augite,0.31476400506,Eudialyte,0.289119371366,Astrophyllite,0.263257167868,Augite,0.25656619836,Analcime,0.25282172196
Aegirine-augite,Sodalite,0.444707438528,Potassic-magnesio-fluoro-arfvedsonite,0.342997170285,Cancrinite,0.338953840342,Aegirine,0.31476400506,Minehillite,0.297044262893,Cuprostibite,0.297044262893,Marsturite,0.297044262893,Roweite,0.297044262893,Cahnite,0.297044262893,Hellandite-(Y),0.297044262893
