mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Abelsonite,Neighborite,0.285714285714,Garrelsite,0.210526315789,Elpidite,0.190476190476,Nordstrandite,0.16,Tobelite,0.142857142857,Loughlinite,0.142857142857,Bergenite,0.142857142857,Reedmergnerite,0.136363636364,Takovite,0.133333333333,Guarinoite,0.133333333333
Abernathyite,Heinrichite,0.322580645161,Iriginite,0.210526315789,Uranospinite,0.206896551724,Meta-aluminite,0.193548387097,Saleeite,0.181818181818,Spherocobaltite,0.176470588235,Metauranocircite-I,0.172413793103,Metanatroautunite,0.171428571429,Fernandinite,0.166666666667,Metanovacekite,0.166666666667
Abhurite,Hydroromarchite,0.625,Herzenbergite,0.454545454545,Romarchite,0.384615384615,Hafnon,0.272727272727,Jungite,0.25,Ferronigerite-2N1S,0.222222222222,Steacyite,0.222222222222,Brannockite,0.214285714286,Reyerite,0.214285714286,Katophorite,0.2
Acanthite,Chlorargyrite,0.278564031757,Pyrargyrite,0.233978494624,Silver,0.231384752167,Tetrahedrite,0.192640212813,Anglesite,0.178832116788,Proustite,0.17276516906,Cerussite,0.171254512635,Covellite,0.170774137431,Stephanite,0.148667601683,Polybasite,0.144981412639
Actinolite,Tremolite,0.241001028454,Diopside,0.229528928233,Titanite,0.219945766797,Epidote,0.195113438045,Talc,0.184189929559,Rutile,0.169816564758,Albite,0.165673693859,Grossular,0.162195121951,Orthoclase,0.153896103896,Pyrrhotite,0.15190121521
Adamite,Austinite,0.367816091954,Arseniosiderite,0.327868852459,Carminite,0.326086956522,Mixite,0.275132275132,Conichalcite,0.268292682927,Duftite,0.264822134387,Beudantite,0.243986254296,Olivenite,0.215873015873,Bayldonite,0.208121827411,Agardite-(Y),0.206451612903
Adelite,Allactite,0.642857142857,Hauckite,0.642857142857,Kolicite,0.642857142857,Yeatmanite,0.6,Johnbaumite,0.6,Holdenite,0.571428571429,Chlorophoenicite,0.5625,Hodgkinsonite,0.5625,Sarkinite,0.529411764706,Metalodevite,0.5
Adranosite-(Fe),Clairite,1.0,Kremersite,1.0,Pyracmonite,1.0,Carlsonite,1.0,Sabieite,1.0,Ammoniomagnesiovoltaite,1.0,Huizingite-(Al),1.0,Lonecreekite,0.714285714286,Panethite,0.285714285714,Brianite,0.285714285714
Aegirine,Riebeckite,0.277960526316,Nepheline,0.273214285714,Arfvedsonite,0.195833333333,Sodalite,0.193347193347,Analcime,0.135478408129,Cancrinite,0.132762312634,Augite,0.132539091586,Natrolite,0.130390143737,Aegirine-augite,0.119047619048,Fayalite,0.113333333333
Aegirine-augite,Sodalite,0.269736842105,Cancrinite,0.20325203252,Kaersutite,0.151515151515,Richterite,0.145299145299,Nepheline,0.133105802048,Fluocerite-(Ce),0.131868131868,Pyrophanite,0.128571428571,Synchysite-(Ce),0.119266055046,Aegirine,0.119047619048,Caryopilite,0.118279569892
Aenigmatite,Parisite-(Ce),0.2,Polylithionite,0.192307692308,Gaidonnayite,0.188679245283,Arfvedsonite,0.182432432432,Mosandrite,0.181818181818,Astrophyllite,0.168316831683,Narsarsukite,0.166666666667,Epididymite,0.16,Catapleiite,0.151515151515,Kainosite-(Y),0.148148148148
Aerinite,Magnesiochlorophoenicite,0.222222222222,Tritomite-(Y),0.222222222222,Sclarite,0.222222222222,Roweite,0.222222222222,Wawayandaite,0.222222222222,Minehillite,0.222222222222,Bannisterite,0.222222222222,Marsturite,0.222222222222,Franklinfurnaceite,0.222222222222,Loseyite,0.222222222222
Aeschynite-(Ce),Fluorannite,0.333333333333,Hafnon,0.166666666667,Calciosamarskite,0.15,Fluorophlogopite,0.147058823529,Parisite-(Ce),0.145833333333,Potassiccarpholite,0.142857142857,Semseyite,0.138888888889,Theisite,0.136363636364,Buckhornite,0.136363636364,Romarchite,0.136363636364
Aeschynite-(Y),Allanite-(Nd),0.225806451613,Gadolinite-(Y),0.205479452055,Eggletonite,0.193548387097,Florencite-(Ce),0.181818181818,Zircophyllite,0.176470588235,Lavenite,0.162162162162,Fluorannite,0.161290322581,Fergusonite-(Ce),0.161290322581,Bastnasite-(Y),0.161290322581,Gaidonnayite,0.157894736842
Afghanite,Kanoite,0.571428571429,Donpeacorite,0.5,Chromium-dravite,0.5,Chromo-alumino-povondraite,0.5,Warwickite,0.352941176471,Ferrohogbomite-2N2S,0.333333333333,Isokite,0.333333333333,Turneaureite,0.307692307692,Namuwite,0.285714285714,Feruvite,0.272727272727
Afmite,Kobokoboite,1.0,Matulaite,0.3,Eastonite,0.3,Millosevichite,0.25,Berndtite,0.25,Sulphur-beta,0.25,Steklite,0.25,Ottemannite,0.25,Laphamite,0.25,Giorgiosite,0.25
Afwillite,Riversideite,0.636363636364,Jennite,0.454545454545,Hydrocalumite,0.454545454545,Nadorite,0.454545454545,Oyelite,0.454545454545,Plombierite,0.454545454545,Hydroxylellestadite,0.454545454545,Ganomalite,0.4375,Foshagite,0.4375,Bultfonteinite,0.4375
Agaite,Andychristyite,1.0,Markcooperite,0.857142857143,Paratimroseite,0.857142857143,Eckhardite,0.75,Thorneite,0.75,Bairdite,0.714285714286,Eztlite,0.714285714286,Chromschieffelinite,0.714285714286,Telluroperite,0.666666666667,Fuettererite,0.625
Agardite-(Ce),Lindackerite,0.833333333333,Goudeyite,0.714285714286,Dadsonite,0.5,Ganterite,0.375,Alpersite,0.375,Teallite,0.375,Luetheite,0.357142857143,Arsenogorceixite,0.25,Samsonite,0.25,Vanalite,0.25
